codec,options,input_size,output_size,evaluation_result,elapsed_time,crf,speed
vp9,"{'crf': 15, 'speed': 4, 'threads': 2}",1842030,4879147,44.966804,67.51713514328003,15,4
vp9,"{'crf': 15, 'speed': 2, 'threads': 2}",1842030,4672195,45.032262,80.596506357193,15,2
vp9,"{'crf': 30, 'speed': 4, 'threads': 2}",1842030,2632118,43.510837,67.06291389465332,30,4
vp9,"{'crf': 30, 'speed': 2, 'threads': 2}",1842030,2569960,43.69249,77.71406602859497,30,2
vp9,"{'crf': 50, 'speed': 4, 'threads': 2}",1842030,840491,39.066017,64.22145962715149,50,4
vp9,"{'crf': 50, 'speed': 2, 'threads': 2}",1842030,825874,39.226264,76.78762412071228,50,2
vp9,"{'crf': 15, 'speed': 4, 'threads': 2}",1471437,4155697,43.291725,65.98711466789246,15,4
vp9,"{'crf': 15, 'speed': 2, 'threads': 2}",1471437,4004487,43.332151,79.02000379562378,15,2
vp9,"{'crf': 30, 'speed': 4, 'threads': 2}",1471437,2262748,42.337003,66.49523115158081,30,4
vp9,"{'crf': 30, 'speed': 2, 'threads': 2}",1471437,2216712,42.462425,76.76478910446167,30,2
vp9,"{'crf': 50, 'speed': 4, 'threads': 2}",1471437,767505,38.913672,64.00570106506348,50,4
vp9,"{'crf': 50, 'speed': 2, 'threads': 2}",1471437,747966,39.042044,75.33124995231628,50,2
vp9,"{'crf': 15, 'speed': 4, 'threads': 2}",1364251,3603716,45.112017,63.99940013885498,15,4
vp9,"{'crf': 15, 'speed': 2, 'threads': 2}",1364251,3476846,45.173358,77.85478377342224,15,2
vp9,"{'crf': 30, 'speed': 4, 'threads': 2}",1364251,1969864,43.712316,64.78921294212341,30,4
vp9,"{'crf': 30, 'speed': 2, 'threads': 2}",1364251,1940126,43.89031,73.67237663269043,30,2
vp9,"{'crf': 50, 'speed': 4, 'threads': 2}",1364251,666689,39.361541,63.24983549118042,50,4
vp9,"{'crf': 50, 'speed': 2, 'threads': 2}",1364251,656061,39.508058,71.93141651153564,50,2
